iter	RMSE
0	662.9616796
1	647.7432098
2	633.0573044
3	618.8597272
4	606.0136823
5	592.7735894
6	580.1078743
7	568.1573961
8	556.4065051
9	545.1936002
10	534.4169809
11	524.40865
12	514.3450264
13	505.0990494
14	496.5122127
15	487.4433177
16	479.0554314
17	471.4173221
18	464.2608245
19	456.663656
20	449.5064723
21	442.5077763
22	436.0011173
23	429.5552129
24	423.1883555
25	417.124585
26	411.4593031
27	406.3600715
28	400.335194
29	395.3470022
30	390.7577193
31	385.6489396
32	380.555773
33	376.008485
34	371.5241243
35	367.8666699
36	363.8290742
37	360.1808008
38	357.060978
39	353.7863219
40	350.3804548
41	346.5109999
42	343.4557105
43	340.0686239
44	337.2149174
45	335.3113911
46	332.006117
47	329.988731
48	327.490086
49	325.1281209
50	322.32051
51	319.3777505
52	318.1038375
53	315.2464472
54	313.264995
55	310.6529504
56	308.3554008
57	306.5966783
58	304.1896808
59	302.0863871
60	300.1354068
61	298.5182274
62	297.0231494
63	295.4493278
64	293.8947665
65	292.0972135
66	290.2906333
67	289.1887749
68	287.8542131
69	286.62704
70	285.8631898
71	284.4366947
72	282.7853497
73	281.3439445
74	280.1191121
75	279.1369079
76	278.1260743
77	276.2284212
78	274.7788382
79	273.2093487
80	272.1460485
81	270.7444283
82	269.8889041
83	268.0726457
84	267.1448942
85	265.8385354
86	264.4340602
87	263.5079098
88	262.9087588
89	261.958372
90	261.2282376
91	260.636337
92	259.7497938
93	258.7728926
94	257.9855727
95	256.7875429
96	255.5565144
97	255.1165744
98	254.2481466
99	253.5141015
100	253.1754692
101	252.2058839
102	251.5107151
103	250.1335629
104	248.7600399
105	248.0176362
106	247.6375097
107	247.2602257
108	246.6638048
109	246.1061562
110	245.3973849
111	244.8783224
112	244.1342178
113	243.263997
114	242.6584892
115	242.2576347
116	241.4042679
117	240.5910104
118	240.2636631
119	239.845605
120	239.4927315
121	238.8481292
122	238.3336088
123	237.7111844
124	237.5992056
125	236.9555907
126	236.7682353
127	236.2033967
128	235.445769
129	235.3657349
130	235.2668424
131	234.6633514
132	233.9052674
133	233.4055136
134	232.9886076
135	232.4029224
136	231.9441214
137	231.8474316
138	231.5092328
139	231.3775289
140	231.2209075
141	230.4820885
142	229.9475143
143	228.5810957
144	228.1630875
145	228.0390039
146	227.938212
147	226.9642373
148	226.8682074
149	226.6646218
150	225.9594372
151	225.49066
152	225.1153164
153	225.0144421
154	224.6834556
155	224.3143546
156	224.1563868
157	223.8229513
158	223.4496424
159	223.2895189
160	222.9485861
161	222.5241598
162	222.4121929
163	222.1914555
164	222.126515
165	221.713412
166	221.4187374
167	221.2825084
168	220.9704388
169	220.8608295
170	220.792903
171	220.7375443
172	220.6877057
173	220.3408011
174	220.3026298
175	220.0760979
176	218.9004097
177	218.5057472
178	218.2105456
179	217.9425231
180	217.4172108
181	217.1703728
182	216.9386884
183	216.891425
184	216.7622185
185	216.7348373
186	215.7212562
187	215.4653188
188	215.1766995
189	215.1065475
190	215.0299193
191	214.9326593
192	214.4619579
193	214.2543174
194	214.0691685
195	213.8565749
196	213.8290303
197	213.786768
198	213.6967522
199	213.6729438
200	213.5673477
201	213.5578543
202	213.4538967
203	213.3979123
204	213.3423874
205	213.3190622
206	213.2550475
207	213.1934191
208	212.521124
209	212.3007996
210	212.2389669
211	212.0521312
212	211.4594065
213	211.0008414
214	210.9564269
215	210.78189
216	210.5929634
217	210.5457745
218	210.4977846
219	210.3858091
220	210.3530154
221	209.3888682
222	208.9530383
223	207.7224696
224	207.6784855
225	207.4423849
226	206.0991119
227	206.0793033
228	205.777203
229	205.5236795
230	205.4875055
231	205.4411143
232	205.2713554
233	205.1436179
234	205.1020497
235	205.0664871
236	205.0209377
237	204.9581809
238	204.8193782
239	204.7662768
240	204.7349288
241	204.7070785
242	204.6778249
243	204.5602152
244	204.4292729
245	204.2592104
246	204.1310748
247	204.0086602
248	203.9113587
249	203.7538033
250	203.5946685
251	203.5713048
252	203.5478206
253	202.7461721
254	202.5768473
255	202.4552383
256	202.3879823
257	202.3650049
258	202.0799224
259	202.0450674
260	201.0600723
261	201.0005675
262	200.770215
263	200.6722065
264	200.5356463
265	200.4406638
266	200.3158484
267	199.4030198
268	199.312162
269	198.8529715
270	198.7988286
271	198.7293254
272	198.6722047
273	198.6333841
274	198.5240047
275	198.5007701
276	198.3506952
277	198.2983701
278	198.2042712
279	197.6785772
280	196.9211037
281	196.8448902
282	196.7718289
283	196.685991
284	196.0438131
285	196.0281161
286	195.9926312
287	195.8845794
288	195.8378053
289	195.746309
290	195.6714087
291	195.5346982
292	195.4678866
293	195.4582863
294	195.3790528
295	195.3221204
296	195.2614116
297	195.0721905
298	195.0171035
299	194.9129814
300	194.7922938
301	193.9273263
302	193.8480068
303	193.7625822
304	193.7088937
305	193.652728
306	193.6353933
307	193.6303529
308	192.6636704
309	192.6188034
310	192.5430072
311	192.4744798
312	192.4442759
313	192.3941334
314	192.3484278
315	192.2860041
316	191.7839694
317	191.7296195
318	191.6429284
319	191.5945369
320	191.5517477
321	191.4345053
322	191.050836
323	191.006165
324	190.967223
325	189.8357329
326	189.7644292
327	189.6998803
328	189.6235957
329	189.607521
330	188.9277136
331	188.9025087
332	188.8666205
333	188.8363118
334	188.6902223
335	188.6481655
336	188.6332534
337	187.6770519
338	187.6333968
339	187.5955834
340	187.4973024
341	187.4675592
342	187.3125913
343	187.2840002
344	187.2551758
345	187.2086919
346	187.176731
347	187.1058258
348	187.0683367
349	186.969219
350	186.9130929
351	186.8878366
352	186.8658722
353	186.8305109
354	186.7616601
355	185.6525093
356	185.6173326
357	185.5717973
358	184.5343684
359	184.5139831
360	184.4915408
361	184.4808394
362	184.4676174
363	184.4426866
364	184.4248209
365	184.409744
366	184.3906659
367	184.3809819
368	184.3634266
369	184.3445763
370	184.3155714
371	184.2985962
372	184.2810889
373	184.2641664
374	183.4205022
375	183.4124784
376	183.3461984
377	183.3086422
378	183.2879709
379	183.2809988
380	182.4513845
381	182.4239497
382	182.4074191
383	182.2936955
384	182.2783953
385	182.2647689
386	182.239979
387	182.2161554
388	182.1788276
389	182.1650901
390	182.1529714
391	182.1304642
392	182.1206035
393	182.0992793
394	182.0521668
395	181.2478379
396	181.2041579
397	181.1949473
398	181.183521
399	181.1744608
400	181.16309
401	181.1543981
402	181.1333294
403	181.1170977
404	181.1143891
405	181.0923402
406	181.0821672
407	181.0733293
408	180.9814202
409	180.9617342
410	180.9508145
411	180.9402733
412	180.5273388
413	180.4631739
414	180.4547334
415	180.4164612
416	180.4083038
417	180.40007
418	180.3380473
419	179.4764255
