iter	Passed	Remaining
0	25	25811
1	109	54611
2	137	45791
3	152	37915
4	163	32521
5	173	28716
6	328	46668
7	342	42479
8	643	70837
9	655	64911
10	685	61643
11	768	63306
12	783	59513
13	812	57254
14	1116	73285
15	1127	69327
16	1210	70022
17	1222	66693
18	1253	64719
19	1300	63703
20	1314	61300
21	1471	65411
22	1501	63780
23	1658	67447
24	1688	65837
25	1773	66422
26	1788	64442
27	1808	62765
28	1822	61032
29	1977	63948
30	2009	62819
31	2612	79039
32	2626	76955
33	2925	83132
34	3527	97255
35	3683	98640
36	3703	96394
37	3722	94250
38	3769	92885
39	3785	90845
40	3867	90458
41	3884	88597
42	3967	88291
43	3996	86841
44	4008	85062
45	4029	83561
46	4077	82678
47	4097	81259
48	4694	91119
49	4724	89757
50	4883	90865
51	5186	94545
52	5201	92943
53	5356	93841
54	5403	92840
55	5486	92489
56	5499	90983
57	5510	89491
58	5524	88116
59	5554	87019
60	6151	94693
61	6758	102246
62	6769	100679
63	6923	101256
64	6935	99768
65	6955	98431
66	6983	97253
67	7140	97864
68	7160	96619
69	7208	95764
70	7238	94716
71	7248	93427
72	8143	103411
73	8162	102144
74	8320	102622
75	8333	101316
76	8416	100889
77	8428	99632
78	8441	98418
79	8596	98855
80	8611	97704
81	8624	96555
82	8672	95813
83	8974	97869
84	9005	96938
85	9034	96015
86	9338	97995
87	9358	96987
88	9406	96284
89	9418	95228
90	9428	94182
91	9457	93337
92	9540	93040
93	9550	92054
94	9570	91170
95	9582	90236
96	9666	89984
97	9698	89265
98	10591	96394
99	11487	103388
100	12086	107583
101	12116	106673
102	12419	108160
103	13319	114753
104	13349	113787
105	14239	120096
106	14255	118975
107	14265	117826
108	14295	116858
109	14451	116928
110	14464	115847
111	15361	121798
112	15444	121229
113	15542	120796
114	15553	119695
115	15582	118746
116	15612	117824
117	15624	116787
118	15655	115901
119	15963	117062
120	15973	116042
121	15989	115074
122	16148	115138
123	16196	114420
124	16208	113462
125	16365	113518
126	16520	113562
127	16530	112614
128	17426	117665
129	17474	116943
130	17489	116015
131	17520	115210
132	17826	116205
133	18725	121018
134	18745	120109
135	18764	119209
136	18811	118496
137	18839	117680
138	18923	117216
139	19007	116760
140	19036	115973
141	19190	115953
142	20085	120369
143	20095	119458
144	20106	118557
145	20261	118518
146	20281	117688
147	20330	117038
148	20343	116187
149	20500	116168
150	20547	115526
151	20629	115091
152	20712	114665
153	20797	114249
154	20954	114237
155	21260	115022
156	21275	114238
157	21291	113463
158	21374	113054
159	21529	113028
160	21541	112257
161	21846	113009
162	21856	112234
163	22747	115954
164	22906	115920
165	22923	115167
166	22935	114401
167	22984	113827
168	22994	113068
169	23007	112329
170	23167	112313
171	23775	114453
172	23791	113732
173	23806	113012
174	24110	113664
175	25008	117086
176	25091	116667
177	25119	116001
178	25131	115269
179	25286	115194
180	25333	114630
181	25491	114569
182	25519	113930
183	26113	115806
184	26125	115095
185	26728	116973
186	26774	116406
187	27076	116949
188	27160	116545
189	27242	116141
190	27253	115434
191	27282	114812
192	27310	114195
193	28204	117180
194	28219	116495
195	28239	115841
196	28287	115302
197	28316	114696
198	28471	114599
199	28482	113931
200	28512	113342
201	29406	116170
202	30306	118986
203	30336	118370
204	31232	121122
205	31388	120983
206	31434	120424
207	31447	119742
208	31464	119082
209	32354	121715
210	32436	121291
211	32456	120639
212	32612	120497
213	32659	119955
214	33549	122495
215	33562	121819
216	33716	121658
217	34598	124110
218	34627	123489
219	34656	122873
220	34701	122320
221	34855	122152
222	35011	121990
223	35032	121363
224	35052	120737
225	35935	123070
226	36822	125390
227	36904	124957
228	36934	124352
229	36982	123812
230	37872	126077
231	38028	125888
232	38333	126188
233	38353	125549
234	38381	124943
235	39260	127097
236	39342	126658
237	39363	126029
238	39378	125384
239	39407	124791
240	40283	126868
241	40312	126269
242	40325	125623
243	40337	124979
244	40385	124452
245	40976	125594
246	41024	125065
247	41105	124642
248	41124	124035
249	41276	123830
250	42162	125815
251	42317	125607
252	42332	124990
253	42378	124465
254	42424	123946
255	42721	124159
256	42882	123974
257	42893	123360
258	42908	122761
259	42923	122165
260	42968	121663
261	43050	121264
262	43206	121076
263	43287	120679
264	43333	120189
265	44208	121990
266	44237	121446
267	44252	120869
268	44555	121077
269	45440	122856
270	46321	124606
271	46344	124038
272	47229	125772
273	48116	127491
274	48130	126888
275	49006	128553
276	49052	128031
277	49066	127432
278	49365	127570
279	49953	128451
280	50252	128580
281	51140	130209
282	51162	129622
283	51750	130469
284	52335	131298
285	52347	130686
286	52394	130164
287	52406	129559
288	52425	128977
289	52580	128730
290	52627	128223
291	52926	128328
292	53804	129829
293	53833	129273
294	54723	130779
295	54743	130201
296	54755	129606
297	54767	129015
298	54813	128509
299	54860	128007
300	54888	127465
301	54900	126890
302	55792	128341
303	55875	127924
304	56766	129352
305	56796	128812
306	57679	130202
307	58571	131596
308	59469	132989
309	59489	132411
310	59571	131976
311	60460	133322
312	60541	132881
313	60699	132611
314	61592	133940
315	62486	135254
316	63090	135934
317	63986	137228
318	64016	136662
319	64064	136136
320	64084	135555
321	64978	136818
322	65009	136257
323	65614	136899
324	65696	136446
325	66585	137664
326	67491	138904
327	67539	138374
328	68438	139581
329	68467	139009
330	68480	138408
331	68508	137843
332	69402	139013
333	70281	140143
334	71160	141259
335	71180	140666
