iter	Passed	Remaining
0	212	212001
1	290	145100
2	374	124363
3	451	112491
4	534	106324
5	617	102235
6	705	100115
7	788	97763
8	869	95760
9	956	94690
10	1055	94907
11	1154	95034
12	1239	94095
13	1370	96510
14	1463	96117
15	1549	95307
16	1632	94416
17	1723	94044
18	1807	93308
19	1890	92630
20	1978	92248
21	2058	91530
22	2142	90992
23	2228	90610
24	2307	90006
25	2386	89415
26	2465	88864
27	2547	88447
28	2629	88033
29	2711	87667
30	2797	87438
31	2877	87048
32	2959	86725
33	3043	86463
34	3126	86189
35	3210	85956
36	3294	85743
37	3375	85446
38	3457	85204
39	3541	84989
40	3627	84849
41	3714	84727
42	3796	84503
43	3880	84317
44	3962	84091
45	4044	83876
46	4131	83766
47	4212	83542
48	4296	83380
49	4380	83226
50	4462	83045
51	4544	82849
52	4629	82726
53	4717	82642
54	4802	82514
55	4888	82401
56	4974	82293
57	5058	82163
58	5142	82018
59	5230	81946
60	5313	81800
61	5396	81647
62	5480	81506
63	5561	81336
64	5649	81265
65	5733	81143
66	5820	81048
67	5902	80904
68	5986	80779
69	6068	80623
70	6151	80493
71	6235	80364
72	6322	80291
73	6404	80141
74	6489	80036
75	6571	79892
76	6656	79794
77	6741	79687
78	6826	79587
79	6915	79523
80	6996	79384
81	7081	79275
82	7163	79139
83	7243	78991
84	7330	78912
85	7413	78785
86	7495	78663
87	7580	78566
88	7665	78467
89	7745	78314
90	7831	78231
91	7913	78103
92	7994	77970
93	8077	77849
94	8163	77763
95	8244	77636
96	8327	77527
97	8416	77468
98	8503	77388
99	8585	77270
100	8675	77218
101	8759	77116
102	8841	76997
103	8927	76911
104	9006	76771
105	9089	76658
106	9172	76555
107	9258	76471
108	9339	76340
109	9422	76235
110	9507	76142
111	9588	76025
112	9673	75935
113	9759	75847
114	9839	75720
115	9923	75620
116	10006	75522
117	10087	75400
118	10167	75275
119	10255	75208
120	10335	75079
121	10417	74974
122	10501	74877
123	10586	74787
124	10668	74680
125	10752	74584
126	10835	74486
127	10921	74399
128	11001	74284
129	11084	74180
130	11165	74067
131	11245	73948
132	11326	73833
133	11410	73739
134	11492	73637
135	11583	73589
136	11678	73564
137	11764	73486
138	11848	73394
139	11937	73328
140	12018	73218
141	12097	73095
142	12179	72992
143	12258	72868
144	12342	72775
145	12424	72672
146	12508	72584
147	12590	72480
148	12683	72440
149	12778	72410
150	12872	72374
151	12958	72295
152	13040	72190
153	13124	72097
154	13209	72011
155	13295	71932
156	13378	71834
157	13465	71761
158	13548	71659
159	13636	71591
160	13722	71511
161	13814	71458
162	13908	71420
163	14000	71366
164	14085	71281
165	14186	71275
166	14271	71187
167	14354	71088
168	14443	71022
169	14532	70950
170	14627	70915
171	14737	70945
172	14835	70918
173	14951	70975
174	15048	70942
175	15135	70860
176	15219	70764
177	15305	70679
178	15398	70625
179	15487	70552
180	15577	70483
181	15675	70451
182	15760	70362
183	15847	70281
184	15938	70217
185	16030	70153
186	16118	70077
187	16218	70051
188	16334	70091
189	16435	70066
190	16531	70018
191	16620	69943
192	16709	69867
193	16789	69754
194	16874	69659
195	16957	69561
196	17050	69499
197	17133	69398
198	17217	69300
199	17300	69200
200	17380	69087
201	17467	69005
202	17555	68925
203	17641	68838
204	17723	68730
205	17808	68641
206	17891	68539
207	17977	68451
208	18065	68374
209	18150	68279
210	18233	68182
211	18318	68088
212	18409	68019
213	18503	67961
214	18601	67916
215	18715	67931
216	18822	67918
217	18922	67878
218	19026	67851
219	19118	67785
220	19220	67749
221	19313	67685
222	19400	67597
223	19486	67506
224	19574	67424
225	19662	67339
226	19753	67267
227	19841	67182
228	19922	67076
229	20008	66984
230	20091	66883
231	20177	66795
232	20260	66694
233	20344	66598
