iter	Passed	Remaining
0	0	492
1	1	499
2	1	490
3	2	480
4	3	467
5	3	425
6	3	409
7	4	408
8	4	411
9	5	406
10	6	410
11	6	412
12	7	416
13	7	416
14	8	416
15	9	416
16	9	420
17	10	421
18	10	422
19	11	419
20	12	419
21	12	419
22	13	417
23	13	416
24	14	415
25	14	414
26	15	414
27	16	415
28	16	415
29	17	414
30	17	411
31	18	412
32	19	413
33	19	414
34	20	414
35	20	414
36	21	414
37	22	414
38	22	412
39	23	410
40	23	408
41	24	408
42	24	408
43	25	407
44	25	406
45	26	405
46	27	403
47	27	404
48	28	403
49	28	402
50	29	401
51	29	400
52	30	398
53	30	395
54	31	394
55	31	392
56	32	391
57	32	391
58	33	390
59	33	390
60	34	390
61	35	389
62	35	388
63	36	387
64	36	387
65	37	386
66	37	386
67	38	384
68	38	384
69	39	385
70	40	384
71	40	383
72	41	383
73	41	383
74	42	381
75	42	381
76	43	380
77	44	380
78	44	379
79	45	378
80	45	378
81	46	377
82	46	377
83	47	376
84	48	376
85	48	376
86	49	375
87	49	375
88	50	374
89	50	373
90	51	370
91	51	369
92	52	368
93	52	369
94	53	368
95	53	367
96	54	366
97	54	365
98	55	364
99	56	364
100	56	364
101	57	364
102	58	364
103	58	364
104	59	364
105	60	364
106	60	364
107	61	364
108	61	363
109	62	363
110	63	362
111	63	362
112	63	360
113	64	359
114	65	359
115	65	358
116	66	358
117	66	357
118	67	357
119	67	356
120	68	355
121	68	355
122	69	354
123	70	354
124	70	353
125	71	353
126	72	353
127	72	353
128	73	352
129	73	352
130	74	351
131	74	350
132	75	349
133	75	348
134	76	348
135	76	347
136	77	345
137	77	344
138	78	344
139	78	342
140	79	342
141	79	341
142	80	340
143	80	340
144	81	339
145	81	339
146	82	338
147	82	337
148	83	335
149	83	334
150	84	334
151	84	333
152	85	332
153	85	332
154	86	331
155	86	331
156	87	330
157	88	330
158	88	329
159	89	329
160	90	329
161	90	328
162	91	328
163	91	327
164	92	326
165	92	326
166	93	325
167	93	325
168	94	324
169	95	324
170	95	324
171	96	323
172	96	322
173	97	322
174	97	321
175	98	321
176	99	320
177	99	320
178	100	319
179	100	318
180	101	318
181	101	317
182	102	317
183	103	316
184	103	316
185	104	315
186	104	315
187	105	314
188	105	314
189	106	312
190	106	312
191	107	311
192	107	310
193	108	310
194	108	309
195	109	308
196	109	307
197	110	306
198	110	305
199	111	305
200	111	304
201	112	304
202	112	303
203	113	302
204	113	301
205	114	301
206	114	300
207	115	300
208	116	300
209	116	300
210	117	299
211	118	299
212	118	299
213	119	298
214	119	298
215	120	297
216	121	297
217	121	297
218	122	296
219	122	295
220	122	294
221	123	293
222	124	293
223	124	292
224	125	291
225	125	291
226	126	290
227	126	290
228	127	289
229	127	289
230	128	288
231	128	287
232	129	287
233	130	287
234	130	286
235	131	285
236	131	284
237	132	284
238	132	284
239	133	283
240	133	282
241	134	281
242	134	281
243	135	280
244	135	280
245	136	279
246	137	279
247	137	278
248	138	278
249	138	277
250	139	277
251	140	276
252	140	276
253	141	276
254	142	276
255	142	275
256	143	275
257	144	275
258	145	275
259	145	274
260	146	274
261	147	274
262	148	274
263	148	273
264	149	273
265	150	273
266	150	273
267	151	272
268	152	272
269	153	272
270	153	271
271	154	271
272	155	271
273	155	270
274	156	270
275	157	270
276	158	270
277	159	270
278	159	269
279	160	269
280	161	269
281	162	269
282	162	268
283	163	268
284	164	268
285	164	267
286	165	267
287	166	266
288	167	266
289	167	266
290	168	265
291	169	265
292	169	264
293	170	264
294	171	263
295	171	263
296	172	262
297	173	262
298	173	261
299	174	261
300	174	260
301	175	260
302	175	259
303	176	258
304	176	258
305	177	257
306	177	256
307	178	256
308	178	255
309	179	254
310	180	254
311	180	253
