iter	Passed	Remaining
0	5	5879
1	9	4888
2	14	4905
3	20	5207
4	26	5324
5	32	5369
6	37	5346
7	42	5325
8	48	5311
9	53	5272
10	57	5159
11	62	5126
12	67	5116
13	72	5080
14	76	5038
15	81	5008
16	86	4995
17	92	5025
18	97	5010
19	102	4998
20	105	4931
21	110	4902
22	114	4867
23	118	4820
24	123	4808
25	128	4812
26	133	4824
27	138	4822
28	143	4799
29	147	4771
30	151	4743
31	157	4751
32	161	4746
33	167	4762
34	172	4764
35	177	4748
36	181	4733
37	187	4746
38	192	4736
39	197	4728
40	201	4707
41	205	4697
42	210	4681
43	215	4692
44	221	4697
45	226	4694
46	231	4699
47	237	4712
48	243	4722
49	248	4719
50	252	4705
51	257	4691
52	262	4692
53	268	4696
54	273	4699
55	279	4717
56	285	4720
57	291	4727
58	296	4727
59	301	4730
60	307	4736
61	313	4738
62	318	4733
63	324	4743
64	330	4750
65	335	4746
66	340	4746
67	345	4734
68	349	4722
69	355	4726
70	361	4729
71	366	4723
72	372	4734
73	378	4730
74	383	4733
75	389	4739
76	395	4736
77	400	4731
78	404	4718
79	409	4713
80	415	4719
81	421	4716
82	426	4707
83	431	4700
84	435	4688
85	440	4682
86	446	4682
87	451	4676
88	456	4671
89	461	4668
90	466	4662
91	471	4652
92	477	4655
93	482	4650
94	487	4645
95	492	4637
96	496	4626
97	501	4618
98	507	4619
99	513	4620
100	518	4615
101	523	4607
102	528	4600
103	533	4595
104	538	4591
105	543	4581
106	547	4571
107	554	4577
108	559	4570
109	563	4562
110	569	4559
111	573	4550
112	578	4542
113	583	4535
114	588	4527
115	593	4522
116	598	4517
117	603	4513
118	608	4504
119	613	4498
120	618	4490
121	622	4480
122	627	4475
123	632	4467
124	636	4458
125	642	4453
126	647	4448
127	652	4442
128	657	4437
129	662	4431
130	667	4425
131	672	4419
132	677	4416
133	682	4413
134	687	4404
135	692	4397
136	696	4390
137	701	4382
138	706	4376
139	711	4369
140	715	4360
141	720	4352
142	725	4345
143	729	4336
144	734	4333
145	739	4328
146	745	4323
147	749	4314
148	754	4307
149	758	4299
150	763	4293
151	769	4292
152	774	4285
153	779	4279
154	784	4277
155	789	4272
156	794	4267
157	799	4258
158	804	4253
159	809	4249
160	814	4243
161	819	4237
162	824	4232
163	829	4226
164	833	4218
165	838	4211
166	843	4208
167	847	4198
168	852	4189
169	857	4185
170	862	4180
171	866	4171
172	871	4167
173	877	4165
174	882	4162
175	887	4157
176	892	4151
177	897	4143
178	903	4142
179	910	4148
180	918	4155
181	926	4162
182	932	4161
183	938	4160
184	943	4158
185	949	4154
186	954	4149
187	959	4144
188	965	4141
189	970	4135
190	974	4127
191	979	4124
192	985	4120
193	990	4116
194	995	4110
195	1001	4106
196	1005	4098
197	1010	4091
198	1014	4085
199	1020	4081
200	1025	4076
201	1030	4070
202	1034	4063
203	1040	4060
204	1044	4051
205	1049	4045
206	1055	4042
207	1060	4039
208	1065	4032
209	1070	4026
210	1074	4017
211	1078	4010
212	1084	4007
213	1089	4001
214	1095	3998
215	1100	3995
216	1106	3991
217	1111	3986
218	1116	3981
219	1121	3976
220	1126	3972
221	1132	3970
222	1137	3963
223	1143	3960
224	1148	3956
225	1153	3950
226	1158	3946
227	1164	3941
228	1169	3937
229	1174	3933
230	1180	3928
231	1185	3922
232	1191	3921
233	1198	3924
234	1204	3921
235	1210	3919
236	1215	3914
237	1221	3911
238	1227	3909
239	1232	3903
240	1238	3898
241	1244	3897
242	1253	3903
243	1259	3901
244	1264	3897
245	1270	3895
246	1276	3891
247	1282	3887
248	1287	3882
249	1292	3877
250	1297	3872
251	1303	3867
252	1307	3861
253	1313	3857
254	1318	3850
255	1322	3844
256	1327	3839
257	1333	3834
258	1338	3829
259	1343	3822
260	1347	3816
261	1352	3810
262	1357	3803
263	1361	3796
264	1366	3789
265	1371	3784
266	1376	3779
267	1381	3773
268	1386	3768
269	1391	3762
270	1396	3755
271	1400	3748
272	1405	3743
273	1410	3737
274	1415	3732
275	1421	3728
276	1426	3723
277	1431	3719
278	1436	3712
279	1441	3706
280	1446	3701
281	1451	3696
282	1456	3690
283	1462	3685
284	1468	3683
285	1472	3677
286	1477	3670
287	1482	3664
288	1487	3658
289	1491	3650
290	1496	3647
291	1500	3639
292	1505	3632
293	1511	3628
294	1516	3625
295	1522	3620
296	1527	3615
297	1532	3611
298	1537	3605
299	1543	3600
300	1549	3597
301	1554	3592
302	1559	3588
303	1565	3583
304	1570	3578
305	1574	3571
306	1579	3565
307	1584	3560
308	1589	3554
309	1594	3548
310	1600	3544
311	1605	3539
312	1610	3535
313	1616	3530
314	1621	3526
315	1631	3530
316	1641	3535
317	1651	3541
318	1658	3540
319	1666	3540
320	1672	3538
321	1678	3534
322	1683	3529
323	1688	3523
324	1694	3520
325	1701	3518
326	1706	3512
327	1711	3507
328	1716	3500
329	1721	3495
330	1727	3490
331	1731	3484
332	1737	3479
333	1743	3476
334	1748	3470
335	1753	3464
336	1758	3458
337	1762	3452
338	1768	3448
339	1774	3445
340	1779	3439
341	1784	3432
342	1788	3425
343	1792	3418
344	1797	3413
345	1802	3406
346	1807	3400
347	1811	3394
348	1816	3389
349	1822	3383
350	1827	3378
351	1831	3372
