iter	Passed	Remaining
0	211	211007
1	263	131282
2	316	105277
3	350	87381
4	396	78978
5	420	69745
6	466	66205
7	498	61838
8	530	58374
9	570	56442
10	610	54928
11	657	54122
12	707	53686
13	758	53424
14	831	54592
15	875	53860
16	923	53378
17	992	54169
18	1051	54284
19	1091	53467
20	1130	52716
21	1197	53216
22	1245	52914
23	1304	53035
24	1357	52938
25	1388	52005
26	1445	52097
27	1507	52331
28	1533	51361
29	1570	50767
30	1593	49798
31	1627	49242
32	1662	48720
33	1696	48202
34	1731	47736
35	1770	47399
36	1824	47482
37	1858	47041
38	1930	47575
39	1994	47856
40	2062	48238
41	2127	48534
42	2195	48860
43	2249	48871
44	2298	48777
45	2341	48566
46	2376	48185
47	2427	48140
48	2500	48534
49	2547	48403
50	2602	48422
51	2655	48416
52	2725	48698
53	2775	48626
54	2844	48867
55	2894	48788
56	2933	48537
57	2970	48251
58	3027	48286
59	3078	48226
60	3137	48292
61	3193	48320
62	3241	48204
63	3301	48287
64	3343	48088
65	3386	47931
66	3440	47915
67	3498	47944
68	3546	47849
69	3583	47609
70	3626	47451
71	3666	47251
72	3721	47261
73	3787	47399
74	3813	47031
75	3860	46929
76	3928	47089
77	4002	47313
78	4053	47250
79	4118	47359
80	4162	47227
81	4198	47005
82	4236	46807
83	4280	46675
84	4333	46648
85	4414	46913
86	4495	47175
87	4552	47181
88	4604	47130
89	4668	47203
90	4689	46846
91	4750	46883
92	4796	46774
93	4840	46651
94	4887	46562
95	4936	46486
96	5005	46600
97	5069	46664
98	5114	46545
99	5158	46425
100	5209	46371
101	5270	46398
102	5310	46245
103	5366	46231
104	5415	46163
105	5452	45990
106	5487	45797
107	5533	45706
108	5592	45714
109	5657	45777
110	5711	45741
111	5756	45641
112	5811	45616
113	5860	45550
114	5915	45519
115	5989	45645
116	6036	45560
117	6084	45477
118	6122	45327
119	6140	45030
120	6188	44954
121	6253	45001
122	6306	44962
123	6361	44942
124	6421	44947
125	6491	45028
126	6550	45030
127	6619	45095
128	6660	44969
129	6697	44824
130	6745	44743
131	6799	44714
132	6842	44603
133	6900	44597
134	6953	44552
135	7017	44582
136	7070	44537
137	7123	44493
138	7180	44479
139	7223	44374
140	7259	44228
141	7299	44107
142	7365	44139
143	7436	44207
144	7486	44142
145	7529	44042
146	7597	44085
147	7667	44138
148	7713	44053
149	7764	43997
150	7825	43998
151	7867	43890
152	7904	43758
153	7921	43516
154	7977	43488
155	8035	43475
156	8103	43511
157	8157	43474
158	8211	43433
159	8264	43387
160	8320	43358
161	8380	43351
162	8444	43362
163	8481	43237
164	8508	43060
165	8556	42987
166	8603	42915
167	8670	42942
168	8693	42746
169	8726	42606
170	8763	42483
171	8818	42453
172	8842	42272
173	8913	42312
174	8985	42358
175	9035	42303
176	9069	42169
177	9107	42059
178	9152	41978
179	9212	41967
180	9279	41987
181	9344	41999
182	9418	42049
183	9473	42011
184	9550	42071
185	9601	42018
186	9653	41969
187	9700	41899
188	9757	41867
189	9811	41826
190	9881	41854
191	9908	41699
192	9962	41657
193	10011	41592
194	10102	41705
195	10150	41637
196	10206	41604
197	10259	41554
198	10297	41447
199	10338	41355
200	10390	41303
201	10479	41400
202	10543	41393
203	10598	41355
204	10626	41211
205	10700	41245
206	10746	41169
207	10783	41061
208	10829	40988
209	10874	40909
210	10924	40851
211	10969	40772
212	11004	40659
213	11046	40573
214	11092	40501
215	11139	40431
216	11193	40388
217	11242	40328
218	11277	40218
219	11316	40122
220	11354	40023
221	11396	39939
222	11434	39840
223	11470	39738
224	11511	39652
225	11528	39481
226	11565	39382
227	11601	39282
228	11642	39198
229	11681	39109
230	11743	39094
231	11788	39022
232	11821	38915
233	11856	38811
234	11893	38717
235	11929	38620
236	11964	38518
237	11989	38385
238	12026	38292
239	12048	38152
240	12098	38102
241	12142	38032
242	12192	37982
243	12232	37901
244	12270	37813
245	12318	37757
246	12365	37696
247	12402	37606
248	12440	37521
249	12480	37441
250	12517	37352
251	12556	37270
252	12600	37202
253	12646	37144
254	12705	37120
255	12766	37101
256	12804	37017
257	12840	36927
258	12877	36841
259	12933	36810
260	12997	36801
261	13042	36737
262	13055	36584
263	13124	36590
264	13184	36569
265	13245	36549
266	13290	36487
267	13351	36467
268	13408	36435
269	13445	36352
270	13483	36270
271	13524	36199
272	13565	36125
273	13642	36148
274	13693	36100
275	13740	36042
276	13779	35966
277	13842	35951
278	13895	35909
279	13940	35847
280	14005	35836
281	14041	35750
282	14080	35674
283	14133	35632
284	14197	35618
285	14261	35605
286	14312	35556
287	14355	35490
288	14409	35449
289	14478	35446
290	14530	35401
291	14594	35386
292	14632	35308
293	14656	35195
294	14693	35114
295	14734	35043
296	14781	34988
297	14831	34939
298	14877	34879
299	14928	34832
300	14976	34778
301	15023	34722
302	15066	34657
303	15110	34594
304	15150	34523
305	15189	34448
306	15226	34371
307	15267	34303
308	15303	34222
309	15345	34156
310	15385	34084
311	15422	34008
312	15478	33974
313	15544	33960
314	15603	33932
315	15631	33834
316	15696	33819
317	15752	33783
318	15784	33697
319	15823	33624
320	15862	33554
321	15896	33472
322	15933	33396
323	15975	33332
324	15994	33218
325	16043	33169
326	16099	33134
327	16144	33077
328	16195	33031
329	16260	33012
330	16319	32984
331	16388	32974
332	16434	32917
333	16469	32840
334	16514	32781
335	16573	32751
336	16623	32703
337	16695	32700
338	16734	32629
339	16777	32567
340	16794	32455
341	16807	32337
342	16850	32275
343	16894	32216
344	16938	32158
345	16979	32094
346	17047	32080
347	17086	32013
348	17124	31942
349	17171	31890
350	17208	31818
351	17259	31772
352	17333	31769
353	17377	31711
354	17403	31621
355	17475	31613
356	17527	31568
357	17585	31536
358	17647	31510
359	17713	31490
360	17744	31409
361	17796	31365
362	17834	31295
363	17880	31241
364	17936	31204
365	18002	31185
366	18053	31138
367	18114	31109
368	18177	31083
369	18230	31040
370	18282	30995
371	18321	30930
372	18361	30865
373	18416	30825
374	18487	30812
375	18558	30798
376	18613	30759
377	18712	30790
378	18770	30755
379	18825	30715
380	18844	30616
381	18885	30553
382	18905	30455
383	18947	30395
384	18997	30347
385	19066	30328
386	19127	30296
387	19206	30295
388	19275	30276
389	19346	30259
390	19399	30215
391	19467	30194
392	19523	30155
393	19567	30096
394	19584	29996
395	19629	29939
396	19673	29882
397	19744	29864
398	19792	29812
399	19848	29773
400	19914	29747
401	19972	29709
402	20037	29683
403	20107	29663
404	20168	29629
405	20206	29563
406	20257	29514
407	20305	29463
408	20388	29460
409	20439	29412
410	20511	29394
411	20567	29353
412	20650	29350
413	20701	29302
414	20716	29203
415	20755	29137
416	20794	29073
417	20859	29043
418	20942	29039
419	21001	29001
420	21054	28955
421	21119	28927
422	21201	28920
423	21257	28878
424	21297	28813
425	21340	28755
426	21384	28695
427	21435	28647
428	21497	28612
429	21553	28570
430	21635	28562
431	21687	28515
432	21750	28481
433	21789	28416
434	21836	28362
435	21879	28303
436	21925	28246
437	22007	28237
438	22054	28183
439	22093	28119
440	22146	28072
441	22183	28006
442	22222	27940
443	22271	27889
444	22335	27856
445	22395	27818
446	22450	27773
447	22505	27729
448	22571	27698
449	22640	27671
450	22701	27634
451	22739	27568
452	22786	27514
453	22832	27459
454	22916	27449
455	22978	27412
456	23030	27364
457	23082	27315
458	23140	27274
459	23205	27240
460	23290	27230
461	23342	27181
462	23379	27116
463	23431	27067
464	23501	27039
465	23550	26987
466	23594	26929
467	23640	26873
468	23678	26808
469	23715	26742
470	23752	26677
471	23795	26618
472	23849	26572
473	23889	26510
474	23927	26446
475	23966	26383
476	24026	26343
477	24097	26315
478	24160	26278
479	24221	26239
480	24278	26196
481	24331	26149
482	24398	26116
483	24469	26087
484	24538	26056
485	24586	26002
486	24629	25944
487	24684	25898
488	24729	25842
489	24783	25795
490	24834	25744
491	24875	25684
492	24919	25627
493	24968	25574
494	25013	25519
495	25055	25459
496	25102	25406
497	25144	25346
498	25182	25282
499	25222	25222
500	25261	25160
501	25306	25104
502	25352	25049
503	25462	25058
504	25515	25010
505	25599	24992
506	25646	24938
507	25695	24886
508	25760	24849
509	25798	24787
510	25845	24732
511	25917	24702
512	25973	24657
513	26035	24616
514	26111	24590
515	26169	24546
516	26243	24517
517	26302	24474
518	26357	24428
519	26398	24367
520	26442	24310
521	26497	24263
522	26552	24216
523	26621	24183
524	26688	24146
525	26782	24134
526	26843	24093
527	26911	24057
528	26962	24006
529	27017	23958
530	27094	23930
531	27150	23884
532	27219	23848
533	27296	23820
534	27357	23778
535	27418	23735
536	27477	23691
537	27559	23666
538	27601	23607
539	27641	23546
540	27689	23492
541	27752	23451
542	27826	23419
543	27911	23396
544	27959	23342
545	28015	23295
546	28105	23275
547	28158	23225
548	28209	23174
549	28247	23111
550	28296	23058
551	28352	23010
552	28393	22950
553	28433	22890
554	28480	22835
555	28523	22777
556	28567	22720
557	28621	22671
558	28665	22614
559	28714	22561
560	28768	22512
561	28834	22472
562	28885	22420
563	28940	22372
564	29011	22336
565	29061	22284
566	29122	22239
567	29180	22193
568	29234	22143
569	29302	22105
570	29356	22056
571	29447	22034
572	29493	21978
573	29541	21924
574	29599	21877
575	29652	21827
576	29735	21798
577	29788	21748
578	29864	21715
579	29918	21665
580	29964	21609
581	30034	21571
582	30089	21521
583	30128	21461
584	30165	21399
585	30203	21338
586	30275	21301
587	30335	21255
588	30380	21199
589	30435	21149
590	30497	21105
591	30566	21066
592	30631	21023
593	30683	20972
594	30733	20919
595	30773	20860
596	30824	20807
597	30882	20760
598	30946	20716
599	30999	20666
600	31052	20615
601	31131	20581
602	31200	20541
603	31260	20495
604	31321	20449
605	31367	20394
606	31409	20335
607	31456	20280
608	31535	20247
609	31604	20206
610	31679	20169
611	31736	20120
612	31806	20079
613	31887	20046
614	31951	20001
615	31989	19941
616	32034	19885
617	32089	19835
618	32155	19792
619	32219	19747
620	32264	19691
621	32301	19630
622	32340	19570
623	32376	19508
624	32413	19448
625	32451	19388
626	32505	19337
627	32558	19286
628	32601	19229
629	32678	19191
630	32759	19157
631	32823	19112
632	32879	19062
633	32940	19015
634	32993	18964
635	33056	18918
636	33124	18876
637	33184	18828
638	33226	18771
639	33272	18715
640	33335	18669
641	33400	18625
642	33447	18570
643	33516	18527
644	33575	18479
645	33651	18440
646	33697	18384
647	33772	18345
648	33809	18285
649	33853	18228
650	33926	18187
651	33987	18140
652	34036	18086
653	34115	18048
654	34178	18002
655	34235	17952
656	34288	17900
657	34362	17860
658	34406	17803
659	34447	17745
660	34496	17691
661	34551	17641
662	34631	17602
663	34685	17551
664	34740	17501
665	34814	17459
666	34870	17408
667	34953	17372
668	35008	17321
669	35052	17264
670	35095	17207
671	35168	17165
672	35222	17114
673	35284	17066
674	35337	17014
675	35392	16963
676	35446	16911
677	35507	16863
678	35567	16814
679	35629	16766
680	35679	16713
681	35727	16658
682	35795	16613
683	35853	16563
684	35929	16522
685	35979	16468
686	36058	16428
687	36125	16382
688	36180	16330
689	36251	16286
690	36303	16234
691	36348	16178
692	36394	16122
693	36464	16077
694	36522	16027
695	36584	15979
696	36642	15929
697	36713	15884
698	36786	15840
699	36845	15790
700	36892	15735
701	36930	15677
702	36969	15618
703	37025	15567
704	37095	15522
705	37158	15474
706	37236	15431
707	37283	15376
708	37342	15326
709	37410	15280
710	37494	15240
711	37545	15186
712	37585	15129
713	37642	15078
714	37718	15034
715	37766	14980
716	37834	14933
717	37904	14887
718	37986	14846
719	38049	14796
720	38105	14745
721	38163	14694
722	38204	14636
723	38252	14582
724	38323	14536
725	38388	14488
726	38436	14433
727	38483	14378
728	38535	14325
729	38585	14271
730	38636	14217
731	38687	14164
732	38760	14118
733	38807	14063
734	38845	14005
735	38891	13950
736	38948	13898
737	39032	13856
738	39086	13804
739	39140	13752
740	39203	13702
741	39286	13660
742	39334	13605
743	39399	13556
744	39438	13499
745	39493	13446
746	39556	13397
747	39613	13345
748	39666	13292
749	39735	13245
750	39820	13202
751	39879	13151
752	39941	13101
753	40009	13053
754	40070	13003
755	40111	12946
756	40151	12888
757	40202	12835
758	40276	12788
759	40358	12744
760	40408	12690
761	40464	12638
762	40559	12598
763	40610	12544
764	40661	12490
765	40700	12433
766	40745	12377
767	40803	12326
768	40879	12279
769	40949	12231
770	41026	12185
771	41083	12133
772	41142	12081
773	41201	12030
774	41245	11974
775	41283	11916
776	41321	11859
777	41373	11805
778	41444	11757
779	41503	11706
780	41563	11654
781	41644	11609
782	41687	11553
783	41734	11498
784	41794	11446
785	41875	11401
786	41920	11345
787	41955	11287
788	42002	11232
789	42051	11178
790	42119	11128
791	42184	11078
792	42244	11027
793	42314	10978
794	42379	10928
795	42452	10879
796	42494	10823
797	42547	10770
798	42583	10712
799	42621	10655
800	42664	10599
801	42707	10543
802	42775	10494
803	42837	10442
804	42911	10394
805	42976	10344
806	43041	10293
807	43108	10243
808	43162	10190
809	43208	10135
810	43281	10086
811	43352	10037
812	43403	9983
813	43481	9935
814	43580	9892
815	43644	9841
816	43706	9789
817	43757	9735
818	43812	9682
819	43856	9627
820	43920	9575
821	43966	9520
822	44048	9473
823	44108	9421
824	44161	9367
825	44219	9314
826	44278	9262
827	44336	9210
828	44397	9157
829	44437	9101
830	44501	9050
831	44567	8999
832	44616	8944
833	44670	8891
834	44753	8843
835	44805	8789
836	44883	8740
837	44934	8686
838	45001	8635
839	45050	8580
840	45092	8525
841	45139	8470
842	45205	8419
843	45275	8368
844	45348	8318
845	45423	8268
846	45481	8215
847	45543	8163
848	45604	8111
849	45652	8056
850	45693	8000
851	45757	7948
852	45830	7898
853	45903	7847
854	45962	7794
855	46030	7743
856	46107	7693
857	46169	7641
858	46240	7590
859	46286	7534
860	46329	7479
861	46388	7426
862	46438	7371
863	46515	7321
864	46575	7268
865	46635	7216
866	46688	7162
867	46765	7111
868	46811	7056
869	46854	7001
870	46894	6945
871	46932	6889
872	46980	6834
873	47041	6781
874	47113	6730
875	47168	6676
876	47222	6622
877	47272	6568
878	47336	6516
879	47387	6461
880	47449	6409
881	47496	6354
882	47538	6298
883	47589	6244
884	47651	6192
885	47711	6138
886	47761	6084
887	47830	6032
888	47908	5981
889	47960	5927
890	48015	5873
891	48065	5819
892	48110	5764
893	48156	5709
894	48216	5656
895	48268	5602
896	48328	5549
897	48417	5499
898	48481	5446
899	48563	5395
900	48609	5341
901	48656	5286
902	48713	5232
903	48755	5177
904	48832	5126
905	48879	5071
906	48918	5015
907	48959	4960
908	49012	4906
909	49073	4853
910	49152	4801
911	49229	4750
912	49300	4697
913	49365	4644
914	49405	4589
915	49453	4535
916	49514	4481
917	49575	4428
918	49635	4374
919	49689	4320
920	49768	4268
921	49809	4213
922	49848	4158
923	49916	4105
924	49978	4052
925	50037	3998
926	50106	3945
927	50165	3892
928	50218	3837
929	50268	3783
930	50319	3729
931	50382	3675
932	50443	3622
933	50498	3568
934	50545	3513
935	50608	3460
936	50649	3405
937	50710	3351
938	50788	3299
939	50873	3247
940	50930	3193
941	50984	3139
942	51039	3085
943	51104	3031
944	51163	2977
945	51207	2923
946	51261	2868
947	51299	2813
948	51352	2759
949	51415	2706
950	51459	2651
951	51500	2596
952	51545	2542
953	51587	2487
954	51626	2432
955	51672	2378
956	51716	2323
957	51757	2269
958	51799	2214
959	51840	2160
960	51887	2105
961	51937	2051
962	52005	1998
963	52065	1944
964	52141	1891
965	52209	1837
966	52270	1783
967	52322	1729
968	52389	1676
969	52433	1621
970	52472	1567
971	52516	1512
972	52585	1459
973	52643	1405
974	52699	1351
975	52738	1296
976	52776	1242
977	52812	1188
978	52848	1133
979	52889	1079
980	52950	1025
981	53005	971
982	53055	917
983	53099	863
984	53146	809
985	53217	755
986	53271	701
987	53320	647
988	53386	593
989	53461	540
990	53513	485
991	53563	431
992	53639	378
993	53688	324
994	53726	269
995	53786	216
